Nimi,Järjestys,Lyhenne,Ehdokkaita,Vaalirengas
Opiskelijoiden sosialidemokraattinen yhdistys,3932160,OSY,22,Maailmanpyörä
Svenska Nationer och Ämnesföreningar,6815744,SNÄf,38,Osakunnat & Svenska Nationer och Ämnesföreningar
Osakunnat 1,7864320,Osak1,42,Osakunnat & Svenska Nationer och Ämnesföreningar
Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left,8126464,SitVas,60,Maailmanpyörä
Osakunnat 2,8126464,Osak2,39,Osakunnat & Svenska Nationer och Ämnesföreningar
HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens,8257536,HyVi,60,Maailmanpyörä
HELP HLKS/LKS,8257536,HELP1,24,HELP
HYAL Humanistit,8339456,Human,17,HYAL
HYAL Kumpula,8347648,Kumpu,16,HYAL
HYAL Penger,8366080,Penger,14,HYAL
HELP EKY/YFK,8372224,HELP2,30,HELP
HYAL Teologit,8376320,Teol,8,HYAL
HYAL Valtsika,8382336,Valt,13,HYAL
Kokoomuksen opiskelijat,8384512,KOK,60,Edistykselliset
Keskeiset,8386560,Kesk,11,Edistykselliset
HYAL Viikki,8388480,Viikki,6,HYAL
HELP Pykälä/Codex/Justus,8388480,HELP3,31,HELP
HYAL Meikku,8388544,Meikku,3,HYAL
Liberaalinen Vaaliliitto - yksilöllisyyden ja valinnanvapauden edistämiseksi,8388576,LIB,2,Liberaalinen Vaaliliitto - yksilöllisyyden ja valinnanvapauden edistämiseksi
